"foo[0]_x","foo[0]_y","foo3[0]_x","foo3[0]_y"
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-135.6586531,1657193122,-271.3173063,
1657193122,-143.1527137,1657193122,-271.3173063,
1657193122,-143.1527137,1657193122,-271.3173063,
1657193123,-143.1527137,1657193122,-271.3173063,
1657193123,-143.1527137,1657193122,-271.3173063,
1657193123,-143.1527137,1657193122,-286.3054275,
1657193123,-143.1527137,1657193122,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193123,-143.1527137,1657193123,-286.3054275,
1657193124,-143.1527137,1657193123,-286.3054275,
1657193124,-143.1527137,1657193123,-286.3054275,
1657193124,-143.1527137,1657193123,-286.3054275,
1657193124,-143.1527137,1657193123,-286.3054275,
1657193124,-143.1527137,1657193124,-286.3054275,
1657193124,-143.1527137,1657193124,-286.3054275,
1657193124,-143.1527137,1657193124,-286.3054275,
1657193124,-143.1527137,1657193124,-286.3054275,
1657193124,-150.4723651,1657193124,-286.3054275,
1657193124,-150.4723651,1657193124,-286.3054275,
1657193125,-150.4723651,1657193124,-286.3054275,
1657193125,-150.4723651,1657193124,-286.3054275,
1657193125,-150.4723651,1657193124,-300.9447302,
1657193125,-150.4723651,1657193124,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193125,-150.4723651,1657193125,-300.9447302,
1657193126,-150.4723651,1657193125,-300.9447302,
1657193126,-150.4723651,1657193125,-300.9447302,
1657193126,-150.4723651,1657193125,-300.9447302,
1657193126,-150.4723651,1657193125,-300.9447302,
1657193126,-150.4723651,1657193126,-300.9447302,
